age,job,marital,education,default,housing,loan,contact,month,day_of_week,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
33.0,services,married,high.school,no,no,no,telephone,may,mon,,999.0,0.0,nonexistent,,93.994,-36.4,4.857,5191.0,0
43.0,admin.,married,university.degree,no,yes,no,telephone,jul,tue,2.0,999.0,0.0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,0
55.0,technician,married,university.degree,no,yes,no,telephone,,thu,9.0,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,0
37.0,unemployed,married,high.school,no,,no,telephone,may,tue,3.0,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.856,,0
56.0,entrepreneur,married,university.degree,,no,no,cellular,apr,thu,1.0,999.0,0.0,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,0
41.0,technician,,professional.course,no,yes,no,cellular,aug,wed,8.0,999.0,0.0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,0
45.0,blue-collar,married,basic.4y,unknown,no,no,telephone,jun,thu,1.0,999.0,0.0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,0
35.0,technician,single,high.school,unknown,yes,yes,cellular,aug,,1.0,999.0,0.0,nonexistent,1.4,93.444,-36.1,4.964,,0
50.0,self-employed,married,basic.9y,no,yes,no,cellular,aug,,1.0,999.0,0.0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,0
41.0,blue-collar,married,,,yes,no,telephone,nov,thu,6.0,999.0,0.0,,-0.1,93.2,-42.0,4.076,5195.8,0
39.0,services,single,high.school,no,yes,no,,may,wed,1.0,999.0,1.0,failure,-1.8,92.893,-46.2,1.334,5099.1,0
37.0,technician,married,high.school,no,no,no,cellular,may,mon,1.0,999.0,0.0,nonexistent,-1.8,92.893,-46.2,1.244,5099.1,0
31.0,admin.,married,high.school,no,no,no,telephone,jun,mon,,,0.0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,0
41.0,housemaid,married,basic.4y,no,no,no,cellular,may,tue,1.0,999.0,0.0,nonexistent,-1.8,92.893,-46.2,1.291,5099.1,0
55.0,unemployed,,basic.4y,unknown,yes,no,telephone,may,tue,1.0,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,0
35.0,services,married,high.school,no,no,no,telephone,may,thu,1.0,,0.0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,0
35.0,technician,divorced,unknown,no,yes,yes,telephone,may,wed,1.0,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,0
24.0,blue-collar,married,basic.9y,unknown,no,no,telephone,,tue,1.0,999.0,0.0,nonexistent,1.4,,-41.8,4.961,5228.1,0
38.0,admin.,single,university.degree,no,yes,no,cellular,nov,wed,1.0,999.0,1.0,failure,-0.1,93.2,,4.12,5195.8,0
48.0,admin.,married,high.school,no,yes,yes,telephone,jun,thu,1.0,999.0,0.0,nonexistent,1.4,94.465,-41.8,4.866,5228.1,0
47.0,admin.,married,,,yes,yes,cellular,apr,thu,1.0,2.0,1.0,success,-1.8,93.075,-47.1,1.365,5099.1,0
74.0,retired,divorced,basic.4y,no,no,no,telephone,jun,thu,,999.0,1.0,failure,-1.7,94.055,-39.8,0.742,4991.6,0
31.0,admin.,divorced,high.school,no,no,yes,telephone,may,fri,4.0,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
35.0,technician,single,university.degree,no,yes,no,cellular,aug,thu,5.0,999.0,0.0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,0
33.0,technician,divorced,high.school,no,yes,no,cellular,may,tue,1.0,999.0,1.0,failure,-1.8,92.893,-46.2,1.291,5099.1,0
51.0,blue-collar,divorced,basic.4y,no,no,no,telephone,may,tue,1.0,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,0
25.0,blue-collar,married,,unknown,no,no,cellular,jul,thu,3.0,999.0,0.0,nonexistent,1.4,93.918,-42.7,4.958,5228.1,0
71.0,retired,married,professional.course,no,,no,cellular,sep,fri,1.0,999.0,0.0,nonexistent,,92.379,-29.8,0.803,5017.5,0
25.0,admin.,,university.degree,no,no,no,cellular,may,tue,1.0,999.0,1.0,failure,-1.8,92.893,-46.2,1.266,5099.1,0
54.0,management,married,university.degree,no,no,no,telephone,apr,thu,1.0,2.0,1.0,success,-1.8,,-47.1,1.365,5099.1,0
27.0,technician,single,basic.9y,no,yes,no,cellular,apr,wed,7.0,999.0,0.0,nonexistent,-1.8,93.075,-47.1,1.445,5099.1,0
54.0,services,married,high.school,no,yes,no,telephone,jun,tue,5.0,999.0,0.0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0
47.0,admin.,married,university.degree,no,yes,no,cellular,aug,wed,2.0,999.0,0.0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,0
48.0,technician,married,high.school,no,no,no,telephone,may,fri,3.0,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,0
38.0,services,divorced,high.school,no,no,no,telephone,may,mon,1.0,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
31.0,admin.,,university.degree,no,,unknown,cellular,aug,wed,1.0,999.0,0.0,nonexistent,1.4,93.444,-36.1,4.967,5228.1,0
47.0,admin.,divorced,high.school,no,yes,no,telephone,jun,mon,1.0,999.0,0.0,nonexistent,-1.7,94.055,-39.8,0.711,4991.6,1
49.0,management,married,university.degree,no,no,no,telephone,may,mon,1.0,999.0,0.0,nonexistent,1.1,93.994,-36.4,,5191.0,0
57.0,management,married,university.degree,no,yes,,cellular,nov,fri,1.0,999.0,0.0,,-0.1,93.2,-42.0,4.021,5195.8,0
,admin.,divorced,university.degree,unknown,no,no,cellular,nov,fri,3.0,999.0,,nonexistent,-0.1,93.2,-42.0,4.021,5195.8,0
44.0,admin.,divorced,university.degree,no,no,no,cellular,jul,,6.0,999.0,0.0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,0
43.0,unemployed,divorced,basic.9y,no,no,no,cellular,jul,mon,7.0,999.0,0.0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0
30.0,technician,single,university.degree,unknown,yes,no,cellular,aug,thu,1.0,999.0,0.0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,0
,admin.,,,no,yes,no,cellular,apr,fri,2.0,999.0,0.0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,0
33.0,self-employed,married,high.school,no,yes,no,telephone,may,tue,1.0,999.0,0.0,nonexistent,1.1,93.994,,4.857,5191.0,0
44.0,management,single,university.degree,unknown,no,no,telephone,jun,fri,1.0,999.0,0.0,,1.4,94.465,-41.8,4.967,5228.1,0
33.0,admin.,single,high.school,no,no,yes,telephone,jul,tue,3.0,999.0,,nonexistent,1.4,93.918,-42.7,,5228.1,0
34.0,,single,university.degree,no,no,yes,,sep,fri,1.0,999.0,0.0,nonexistent,-1.1,94.199,-37.5,0.879,4963.6,1
32.0,technician,single,university.degree,no,no,yes,cellular,may,fri,2.0,999.0,1.0,failure,-1.8,92.893,-46.2,1.25,5099.1,0
47.0,blue-collar,married,basic.9y,no,yes,,telephone,jun,,1.0,999.0,0.0,nonexistent,,94.465,-41.8,4.961,5228.1,0
37.0,technician,married,professional.course,no,yes,no,cellular,nov,tue,3.0,,0.0,nonexistent,,93.2,-42.0,4.153,5195.8,0
55.0,retired,married,basic.4y,unknown,no,yes,cellular,jul,tue,4.0,999.0,0.0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,0
39.0,entrepreneur,single,university.degree,no,yes,no,telephone,,thu,9.0,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,0
37.0,technician,married,professional.course,no,yes,no,telephone,may,tue,2.0,999.0,,nonexistent,1.1,93.994,-36.4,4.856,5191.0,0
34.0,technician,married,university.degree,no,yes,no,telephone,oct,wed,1.0,999.0,0.0,nonexistent,-1.1,,-49.5,1.016,4963.6,0
55.0,,married,university.degree,no,yes,yes,cellular,nov,wed,1.0,999.0,,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,0
27.0,services,married,basic.9y,no,,no,cellular,may,mon,2.0,999.0,0.0,nonexistent,-1.8,92.893,-46.2,1.299,5099.1,0
35.0,blue-collar,single,basic.6y,no,yes,no,telephone,may,wed,3.0,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,0
44.0,admin.,married,university.degree,no,yes,no,cellular,may,tue,2.0,999.0,0.0,nonexistent,-1.8,92.893,-46.2,1.344,5099.1,0
45.0,blue-collar,married,unknown,no,yes,yes,cellular,apr,,1.0,999.0,0.0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,0
44.0,technician,single,unknown,no,yes,no,telephone,jun,tue,2.0,999.0,0.0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,0
27.0,services,single,high.school,no,yes,no,cellular,may,fri,4.0,999.0,0.0,nonexistent,-1.8,92.893,-46.2,1.313,5099.1,0
,blue-collar,single,basic.9y,no,yes,yes,cellular,nov,mon,2.0,999.0,1.0,failure,-0.1,93.2,-42.0,4.191,5195.8,0
32.0,entrepreneur,married,university.degree,no,no,no,cellular,nov,tue,3.0,999.0,0.0,nonexistent,-0.1,,-42.0,4.153,5195.8,0
35.0,admin.,divorced,high.school,no,yes,no,cellular,may,mon,1.0,999.0,1.0,failure,-1.8,92.893,-46.2,1.244,5099.1,0
38.0,technician,married,university.degree,no,no,no,telephone,aug,mon,10.0,999.0,0.0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,0
36.0,services,single,basic.6y,unknown,no,no,telephone,jun,mon,3.0,999.0,0.0,nonexistent,1.4,94.465,,4.865,5228.1,0
33.0,services,single,high.school,no,no,,telephone,may,fri,1.0,999.0,0.0,nonexistent,,93.994,-36.4,4.859,5191.0,0
57.0,blue-collar,married,basic.9y,no,yes,no,cellular,aug,,2.0,999.0,0.0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,0
50.0,blue-collar,single,basic.4y,no,yes,no,telephone,may,mon,3.0,999.0,0.0,nonexistent,,93.994,-36.4,4.857,5191.0,0
29.0,admin.,single,university.degree,unknown,,no,cellular,aug,fri,2.0,999.0,0.0,nonexistent,1.4,,-36.1,,5228.1,0
55.0,blue-collar,divorced,basic.4y,no,yes,no,cellular,jul,mon,3.0,999.0,0.0,nonexistent,1.4,,-42.7,4.962,5228.1,0
34.0,blue-collar,married,basic.9y,unknown,no,no,telephone,jun,wed,1.0,999.0,0.0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,0
33.0,blue-collar,married,professional.course,no,yes,no,cellular,aug,tue,4.0,999.0,0.0,nonexistent,-1.7,94.027,-38.3,0.886,4991.6,1
53.0,self-employed,married,university.degree,no,yes,yes,telephone,aug,thu,2.0,999.0,0.0,nonexistent,1.4,93.444,-36.1,4.962,5228.1,0
45.0,services,married,high.school,,no,no,cellular,,tue,2.0,999.0,0.0,nonexistent,1.4,93.918,,4.961,5228.1,0
61.0,admin.,,,no,yes,yes,telephone,jul,wed,4.0,999.0,0.0,nonexistent,-2.9,92.469,-33.6,1.085,5076.2,1
39.0,admin.,single,high.school,no,unknown,unknown,cellular,nov,fri,2.0,999.0,0.0,nonexistent,-0.1,93.2,-42.0,4.021,5195.8,0
31.0,admin.,single,university.degree,no,no,no,telephone,aug,thu,10.0,999.0,0.0,nonexistent,1.4,93.444,-36.1,4.962,,0
,,single,basic.4y,no,no,no,cellular,may,fri,5.0,999.0,0.0,nonexistent,-1.8,92.893,-46.2,1.25,5099.1,0
46.0,housemaid,married,basic.4y,no,yes,no,cellular,aug,fri,1.0,999.0,0.0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,0
41.0,blue-collar,married,basic.4y,unknown,yes,no,telephone,may,thu,2.0,,0.0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,0
21.0,student,single,high.school,no,no,no,cellular,apr,mon,4.0,999.0,1.0,failure,-1.8,93.075,-47.1,1.405,5099.1,0
29.0,services,married,basic.9y,no,yes,no,telephone,may,wed,3.0,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
51.0,technician,married,basic.9y,unknown,yes,no,cellular,jul,mon,1.0,999.0,0.0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0
29.0,blue-collar,single,high.school,no,yes,no,telephone,jun,thu,3.0,999.0,,nonexistent,1.4,94.465,-41.8,4.961,5228.1,1
52.0,retired,divorced,basic.6y,no,no,no,cellular,may,fri,2.0,999.0,1.0,failure,-1.8,92.893,-46.2,1.313,5099.1,0
34.0,admin.,married,basic.6y,no,yes,no,cellular,apr,mon,1.0,,0.0,nonexistent,,93.075,-47.1,1.466,5099.1,0
32.0,management,married,,no,yes,no,cellular,aug,mon,1.0,999.0,,nonexistent,1.4,93.444,,4.965,5228.1,0
32.0,admin.,,university.degree,no,no,no,telephone,,fri,2.0,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,0
,services,single,basic.9y,unknown,no,no,telephone,may,fri,1.0,,0.0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,0
47.0,admin.,,university.degree,no,yes,no,cellular,aug,thu,4.0,999.0,0.0,nonexistent,1.4,,-36.1,4.962,5228.1,0
33.0,blue-collar,married,basic.9y,no,no,yes,telephone,may,wed,1.0,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,0
34.0,technician,single,,no,yes,no,cellular,aug,tue,9.0,999.0,0.0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,0
30.0,,single,high.school,no,yes,no,telephone,may,wed,5.0,999.0,0.0,nonexistent,-1.8,92.893,,1.281,5099.1,0
53.0,,married,unknown,no,no,no,cellular,jul,thu,1.0,999.0,0.0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0
26.0,blue-collar,single,basic.9y,no,yes,yes,telephone,may,fri,2.0,999.0,0.0,nonexistent,,93.994,-36.4,4.857,5191.0,0
33.0,admin.,single,university.degree,no,no,no,cellular,,thu,1.0,999.0,0.0,nonexistent,1.4,93.444,-36.1,4.962,5228.1,0
46.0,blue-collar,married,basic.4y,no,yes,no,cellular,aug,wed,3.0,999.0,0.0,nonexistent,1.4,93.444,-36.1,4.967,5228.1,0
,admin.,married,university.degree,no,yes,no,cellular,may,fri,1.0,999.0,0.0,nonexistent,-1.8,92.893,-46.2,1.25,5099.1,0
33.0,services,divorced,high.school,no,no,yes,cellular,jul,thu,7.0,999.0,0.0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,0
26.0,blue-collar,single,basic.4y,no,yes,yes,telephone,jun,mon,1.0,999.0,,nonexistent,1.4,94.465,-41.8,4.96,5228.1,0
37.0,services,married,high.school,no,yes,no,telephone,may,,1.0,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,0
54.0,technician,married,university.degree,unknown,no,no,telephone,jun,thu,2.0,999.0,0.0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,0
53.0,technician,married,professional.course,no,yes,yes,cellular,sep,fri,1.0,999.0,1.0,failure,-3.4,92.379,-29.8,0.803,5017.5,1
23.0,student,single,high.school,no,yes,no,cellular,oct,mon,2.0,999.0,1.0,failure,-1.1,94.601,-49.5,1.032,4963.6,1
49.0,blue-collar,married,basic.4y,no,no,no,telephone,may,wed,8.0,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,0
49.0,blue-collar,married,basic.9y,no,no,no,telephone,jul,fri,1.0,999.0,0.0,nonexistent,1.4,93.918,-42.7,4.959,5228.1,0
42.0,technician,married,university.degree,unknown,no,no,telephone,may,thu,1.0,,0.0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,0
38.0,housemaid,married,basic.6y,unknown,yes,no,telephone,may,fri,4.0,999.0,0.0,nonexistent,,93.994,-36.4,4.855,5191.0,0
41.0,self-employed,married,basic.9y,no,yes,no,cellular,may,thu,3.0,999.0,1.0,failure,-1.8,92.893,-46.2,1.327,5099.1,1
48.0,admin.,married,basic.9y,no,yes,no,cellular,aug,tue,2.0,999.0,0.0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,1
36.0,technician,married,professional.course,no,yes,,cellular,aug,tue,1.0,999.0,,,1.4,93.444,-36.1,4.965,5228.1,0
35.0,technician,married,unknown,unknown,yes,no,telephone,may,tue,3.0,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
37.0,blue-collar,married,high.school,no,yes,,cellular,apr,mon,2.0,999.0,1.0,failure,-1.8,93.075,-47.1,1.405,5099.1,0
45.0,admin.,married,basic.6y,no,yes,yes,telephone,may,tue,1.0,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
40.0,management,single,high.school,no,yes,no,cellular,nov,thu,1.0,999.0,0.0,nonexistent,-0.1,93.2,-42.0,4.076,5195.8,0
35.0,technician,married,university.degree,,yes,no,telephone,,thu,3.0,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,0
,blue-collar,single,unknown,no,yes,yes,telephone,jun,wed,1.0,999.0,0.0,nonexistent,1.4,94.465,-41.8,4.962,5228.1,0
46.0,blue-collar,married,basic.9y,unknown,yes,yes,cellular,apr,mon,1.0,,0.0,nonexistent,-1.8,93.075,-47.1,1.466,5099.1,0
32.0,admin.,married,high.school,no,no,no,cellular,jul,tue,14.0,999.0,0.0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,0
38.0,self-employed,married,basic.9y,,yes,yes,cellular,,,3.0,999.0,0.0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,0
27.0,blue-collar,single,basic.9y,,yes,yes,cellular,jul,mon,3.0,999.0,0.0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0
37.0,blue-collar,married,basic.6y,no,yes,no,cellular,apr,mon,2.0,999.0,1.0,failure,-1.8,93.075,-47.1,1.466,5099.1,1
47.0,entrepreneur,married,unknown,unknown,no,no,telephone,may,tue,1.0,999.0,0.0,nonexistent,,93.994,-36.4,4.856,5191.0,0
41.0,admin.,single,university.degree,no,no,no,,may,fri,1.0,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,0
44.0,management,married,basic.9y,no,no,no,cellular,nov,tue,2.0,999.0,0.0,nonexistent,-0.1,93.2,-42.0,4.153,5195.8,0
38.0,blue-collar,married,basic.9y,no,yes,no,telephone,may,fri,1.0,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
55.0,housemaid,divorced,unknown,unknown,no,,cellular,jul,thu,5.0,999.0,0.0,nonexistent,1.4,93.918,-42.7,4.958,5228.1,0
31.0,,single,high.school,no,yes,yes,cellular,aug,tue,1.0,999.0,0.0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,0
39.0,self-employed,married,basic.4y,unknown,yes,,telephone,may,tue,3.0,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,0
33.0,technician,married,professional.course,unknown,yes,no,cellular,aug,mon,,999.0,0.0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,0
56.0,unknown,married,basic.4y,no,no,no,cellular,oct,tue,1.0,2.0,2.0,success,-3.4,92.431,-26.9,0.744,5017.5,1
34.0,admin.,divorced,university.degree,no,yes,no,cellular,aug,thu,14.0,999.0,0.0,nonexistent,1.4,93.444,-36.1,4.962,5228.1,0
56.0,self-employed,married,basic.9y,no,unknown,unknown,cellular,aug,thu,1.0,999.0,0.0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,0
35.0,management,married,university.degree,no,no,yes,telephone,aug,,5.0,999.0,0.0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,0
29.0,technician,single,university.degree,no,no,no,cellular,may,mon,2.0,999.0,0.0,nonexistent,-1.8,92.893,-46.2,1.244,5099.1,0
33.0,blue-collar,married,basic.9y,no,yes,no,telephone,jun,fri,1.0,999.0,0.0,nonexistent,1.4,94.465,-41.8,,5228.1,0
,admin.,married,university.degree,no,yes,no,telephone,jun,fri,2.0,999.0,0.0,nonexistent,1.4,94.465,-41.8,4.947,5228.1,0
23.0,blue-collar,single,unknown,unknown,no,no,cellular,jul,wed,6.0,999.0,0.0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,0
39.0,blue-collar,married,basic.6y,no,yes,no,cellular,may,tue,1.0,999.0,2.0,failure,-1.8,92.893,-46.2,1.344,5099.1,0
46.0,entrepreneur,married,basic.9y,no,no,no,,may,mon,2.0,999.0,0.0,,1.1,93.994,-36.4,4.857,,0
58.0,technician,single,professional.course,,yes,yes,,jun,fri,4.0,999.0,0.0,nonexistent,,94.465,,4.959,5228.1,0
26.0,blue-collar,single,basic.9y,no,yes,no,telephone,jun,thu,3.0,999.0,0.0,,1.4,94.465,,4.961,5228.1,0
31.0,blue-collar,single,high.school,no,yes,no,cellular,,thu,,999.0,0.0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,0
34.0,,single,university.degree,no,yes,no,cellular,aug,thu,1.0,999.0,0.0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,1
39.0,services,married,high.school,no,no,no,cellular,may,mon,1.0,999.0,0.0,nonexistent,-1.8,92.893,-46.2,1.299,5099.1,0
33.0,blue-collar,single,basic.9y,unknown,no,yes,telephone,may,,11.0,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,1
42.0,admin.,married,basic.6y,no,yes,no,telephone,jun,wed,3.0,999.0,0.0,nonexistent,1.4,94.465,-41.8,4.962,5228.1,0
57.0,entrepreneur,,basic.4y,no,yes,no,cellular,jun,wed,1.0,999.0,0.0,nonexistent,,92.963,-40.8,1.26,5076.2,0
52.0,unknown,married,basic.4y,,yes,no,telephone,,fri,1.0,999.0,0.0,nonexistent,1.4,94.465,-41.8,4.967,5228.1,0
42.0,blue-collar,married,basic.9y,no,no,yes,telephone,jun,fri,2.0,999.0,0.0,nonexistent,1.4,94.465,-41.8,,5228.1,0
51.0,self-employed,divorced,university.degree,no,yes,no,cellular,nov,wed,1.0,,0.0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,1
36.0,admin.,married,university.degree,no,yes,no,telephone,may,thu,1.0,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,0
46.0,admin.,divorced,university.degree,unknown,no,no,cellular,jul,thu,1.0,999.0,0.0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0
54.0,technician,married,professional.course,unknown,yes,yes,telephone,jun,tue,4.0,999.0,0.0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,0
58.0,services,married,high.school,no,yes,no,cellular,mar,mon,,999.0,2.0,failure,-1.8,93.369,-34.8,0.635,5008.7,0
53.0,management,single,professional.course,unknown,no,no,cellular,jul,tue,5.0,999.0,,nonexistent,1.4,93.918,-42.7,4.961,5228.1,0
40.0,blue-collar,married,basic.9y,unknown,yes,no,telephone,may,thu,5.0,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,0
24.0,student,single,,no,yes,no,cellular,may,wed,1.0,999.0,3.0,failure,-1.8,93.876,-40.0,0.672,5008.7,0
31.0,services,married,high.school,,yes,no,cellular,may,wed,1.0,999.0,1.0,failure,-1.8,92.893,-46.2,1.334,,0
36.0,technician,married,professional.course,no,yes,yes,cellular,apr,thu,2.0,2.0,2.0,success,,93.075,-47.1,1.365,5099.1,1
59.0,housemaid,married,unknown,,no,no,telephone,may,mon,2.0,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,0
30.0,technician,single,professional.course,no,no,no,cellular,may,fri,1.0,999.0,0.0,nonexistent,-1.8,92.893,-46.2,1.313,5099.1,0
31.0,admin.,single,university.degree,unknown,no,no,cellular,aug,thu,3.0,999.0,0.0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,0
31.0,technician,single,university.degree,no,no,no,telephone,,mon,3.0,999.0,0.0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0
33.0,management,married,university.degree,no,no,no,cellular,nov,wed,2.0,999.0,0.0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,0
45.0,blue-collar,married,basic.4y,unknown,yes,no,cellular,aug,fri,1.0,999.0,0.0,,1.4,93.444,-36.1,4.966,5228.1,1
34.0,admin.,divorced,basic.9y,no,no,no,telephone,may,thu,2.0,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,0
32.0,services,single,high.school,no,no,no,cellular,may,mon,1.0,999.0,0.0,nonexistent,-1.8,92.893,-46.2,1.354,5099.1,0
,unemployed,married,basic.4y,unknown,no,no,telephone,may,thu,4.0,,0.0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,0
25.0,admin.,single,university.degree,no,no,no,cellular,jul,,4.0,999.0,0.0,nonexistent,1.4,,-42.7,4.962,5228.1,0
48.0,technician,married,high.school,unknown,yes,no,telephone,may,fri,3.0,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,0
23.0,blue-collar,single,basic.9y,no,no,no,cellular,jun,tue,1.0,999.0,1.0,failure,-2.9,92.963,-40.8,1.262,5076.2,0
57.0,admin.,married,university.degree,no,no,no,,jul,mon,1.0,999.0,0.0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,0
36.0,admin.,married,university.degree,no,yes,no,cellular,apr,mon,2.0,999.0,0.0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,0
29.0,admin.,single,university.degree,no,yes,no,cellular,aug,fri,1.0,999.0,0.0,nonexistent,1.4,,-36.1,4.964,5228.1,0
32.0,admin.,single,basic.9y,no,no,no,cellular,jul,thu,1.0,999.0,,nonexistent,1.4,93.918,-42.7,4.958,5228.1,0
,admin.,divorced,high.school,no,yes,yes,cellular,aug,thu,3.0,999.0,0.0,nonexistent,-1.7,94.027,-38.3,0.904,4991.6,0
34.0,entrepreneur,single,university.degree,no,yes,no,cellular,may,tue,2.0,999.0,0.0,nonexistent,-1.8,92.893,-46.2,1.344,5099.1,0
44.0,admin.,single,high.school,no,yes,no,telephone,may,thu,4.0,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.86,,0
50.0,,married,university.degree,no,no,yes,cellular,nov,tue,1.0,999.0,1.0,failure,-0.1,93.2,-42.0,4.153,5195.8,0
35.0,blue-collar,married,basic.6y,unknown,yes,no,telephone,may,thu,2.0,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,0
34.0,admin.,married,university.degree,no,yes,yes,telephone,may,mon,9.0,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,0
45.0,blue-collar,married,basic.4y,unknown,no,yes,telephone,may,thu,1.0,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.855,,0
,admin.,divorced,high.school,no,yes,no,cellular,nov,wed,2.0,999.0,0.0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,0
51.0,admin.,married,university.degree,no,yes,no,cellular,aug,wed,3.0,999.0,0.0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,0
56.0,self-employed,,basic.9y,no,yes,no,cellular,aug,thu,7.0,999.0,,nonexistent,1.4,,-36.1,4.963,5228.1,0
45.0,blue-collar,single,basic.9y,no,yes,no,cellular,apr,mon,1.0,999.0,0.0,nonexistent,-1.8,93.075,-47.1,1.466,5099.1,0
39.0,management,married,unknown,no,,yes,cellular,nov,thu,1.0,999.0,0.0,nonexistent,-0.1,93.2,-42.0,4.076,5195.8,1
60.0,admin.,divorced,high.school,unknown,yes,no,cellular,may,fri,1.0,999.0,0.0,nonexistent,-1.8,92.893,-46.2,1.25,,0
,blue-collar,single,basic.9y,unknown,yes,no,cellular,jul,mon,8.0,999.0,,,1.4,93.918,-42.7,4.96,5228.1,0
36.0,blue-collar,,basic.6y,unknown,no,no,cellular,may,tue,1.0,999.0,1.0,,-1.8,92.893,-46.2,1.344,5099.1,0
